glacier,cell,sed,Debri,,melt,z
2.5,Cell 45:,44.73,13.1498955,Hydro.45.out,180.874108,3828.594186
2.5,Cell 46:,33.39,9.819764415,Hydro.46.out,142.1859252,4093.889574
2.5,Cell 47:,5.72,1.053056726,Hydro.47.out,38.26133987,4971.310535
2.5,Cell 48:,0,0,Hydro.48.out,0.001287981,5633.217405
2.5,Cell 49:,0,0,Hydro.49.out,0.000319846,5717.108109
2.5,Cell 53:,0,0,Hydro.53.out,0.003858371,5676.340709
2.5,Cell 54:,0.28,0.050619694,Hydro.54.out,3.972156628,5308.61467
2.5,Cell 55:,19.52,5.205992851,Hydro.55.out,112.0943421,4382.436719
2.5,Cell 56:,30.99,7.32610739,Hydro.56.out,205.3295071,3855.94317
2.5,Cell 57:,19.16,4.434479268,Hydro.57.out,142.6268729,4332.552992
2.5,Cell 58:,1.93,0,Hydro.58.out,37.85722021,5184.980874
2.5,Cell 59:,0.13,0,Hydro.59.out,6.340278197,5523.104455
2.5,Cell 60:,0.89,0.051409229,Hydro.60.out,18.08703918,5407.66511
2.5,Cell 63:,0,0,Hydro.63.out,0.019429449,5665.073338
2.5,Cell 64:,0,0,Hydro.64.out,0.001519313,5808.681111
2.5,Cell 65:,2.71,0.236992901,Hydro.65.out,44.68309919,5107.543301
2.5,Cell 66:,23.61,4.297502674,Hydro.66.out,208.8863412,4051.483284
2.5,Cell 67:,27.29,4.037875785,Hydro.67.out,261.0768147,3911.563014
2.5,Cell 68:,10.48,1.731400864,Hydro.68.out,123.0437814,4715.746059
2.5,Cell 69:,1.31,0,Hydro.69.out,39.65519927,5313.121619
2.5,Cell 74:,0,0,Hydro.74.out,0.013257081,5825.377307
2.5,Cell 75:,0.72,0.102841192,Hydro.75.out,16.99209843,5550.248577
2.5,Cell 76:,11.5,1.702880914,Hydro.76.out,138.8090036,4616.593189
2.5,Cell 77:,21.25,2.439018335,Hydro.77.out,238.7134728,4127.998981
2.5,Cell 78:,9.83,1.063607232,Hydro.78.out,142.0540631,4672.725186
2.5,Cell 79:,1.41,0,Hydro.79.out,44.96942695,5295.093824
2.5,Cell 85:,1.69,0.602021107,Hydro.85.out,12.07398316,5690.783431
2.5,Cell 86:,4.77,0.361522267,Hydro.86.out,84.95681464,5077.735982
2.5,Cell 87:,11.72,0.733878232,Hydro.87.out,172.4176029,4559.334454
2.5,Cell 88:,8.17,0.585083394,Hydro.88.out,134.34843,4777.921465
